id,user,created_at,text
1004110038342832128,kaffeyn,2018-06-05 21:17:43,"RT @racheljpierce: seems easier than waiting for the 14,000,000th plan to work #InfinityWar https://t.co/Ca2H2p5BJb"
1004110009720950784,TrujilloMiku,2018-06-05 21:17:36,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109975415762944,Frostsplash,2018-06-05 21:17:28,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109957246214146,AndromedaRDJ,2018-06-05 21:17:23,#Marvel #captainamerica #falcon #funny #interview #subtitulos #vision #steverogers #civilwar #infinitywar… https://t.co/5IK26SBMxy
1004109932080320512,raxilia_r,2018-06-05 21:17:17,"RT @racheljpierce: seems easier than waiting for the 14,000,000th plan to work #InfinityWar https://t.co/Ca2H2p5BJb"
1004109894440583168,MIU_DROP,2018-06-05 21:17:08,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109876610699269,Pengarino,2018-06-05 21:17:04,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109875985702912,Tanis_Barca,2018-06-05 21:17:04,"RT @racheljpierce: seems easier than waiting for the 14,000,000th plan to work #InfinityWar https://t.co/Ca2H2p5BJb"
1004109867555139584,AlquiciraOscar,2018-06-05 21:17:02,RT @cyanwhisky: #InfinityWar  Infinity beer wizard🍺 https://t.co/WDzy7Hz8aL
1004109863906172928,RealFallingStar,2018-06-05 21:17:01,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109850882854913,axelouub,2018-06-05 21:16:58,"RT @thorofficial: The #1 question after seeing Marvel Studios' ""Avengers: #InfinityWar. See the film in theaters again: https://t.co/JjbjHz…"
1004109831920218112,spiderlandslint,2018-06-05 21:16:54,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109827360976896,mellifluousk,2018-06-05 21:16:52,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109827008880641,amyrakicosplay,2018-06-05 21:16:52,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109809090727938,anemic0,2018-06-05 21:16:48,"RT @Bosslogic: Washington National Cathedral #whenyouseeit #infinitywar  @Avengers @Russo_Brothers

Thanks for the pic @MMcDonaldGOAT https…"
1004109777528598528,NaaraRSantana1,2018-06-05 21:16:41,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109751016251392,novadesiregar,2018-06-05 21:16:34,"RT @9GAG: 10 Post #InfinityWar Artworks That Hit You Right In The Feels
https://t.co/eeHH9TKonk https://t.co/cNnsgHwHmB"
1004109740451024896,MarisciaFox,2018-06-05 21:16:32,"RT @SuperheroFilmz: It Appears The INFINITY WAR Official YouTube Trailer Will Hit An Unprecedented For A Trailer 200,000,000 Views Around T…"
1004109728983797760,an00bs,2018-06-05 21:16:29,"RT @racheljpierce: seems easier than waiting for the 14,000,000th plan to work #InfinityWar https://t.co/Ca2H2p5BJb"
1004109668376104961,AlfaArtAcc,2018-06-05 21:16:15,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109661950234624,NerdFromTheHerd,2018-06-05 21:16:13,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109645227556864,llamaniac2018,2018-06-05 21:16:09,"RT @racheljpierce: seems easier than waiting for the 14,000,000th plan to work #InfinityWar https://t.co/Ca2H2p5BJb"
1004109643260588034,TBBAnimations,2018-06-05 21:16:09,"Cull Obsidian and Ebony Maw
-
-
-
-
-
-
-
-
#CullObsidian #EbonyMaw #Avengers #InfinityWar #Marvel @Marvel… https://t.co/qUIxy4xTqR"
1004109635870187521,Damagan_37,2018-06-05 21:16:07,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109633470935041,yezirclarke,2018-06-05 21:16:06,"RT @Avengers: The #1 question after seeing Marvel Studios' ""Avengers: #InfinityWar."" See the film in theaters again: https://t.co/kctg8VkHa…"
1004109630975463424,_jaykun,2018-06-05 21:16:06,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109613929783296,Pirooky,2018-06-05 21:16:02,"RT @javlinbaloca: “i’m sorry, little one” #infinitywar https://t.co/4dlxpn89tO"
1004109605469917184,Termitavee,2018-06-05 21:16:00,"RT @racheljpierce: seems easier than waiting for the 14,000,000th plan to work #InfinityWar https://t.co/Ca2H2p5BJb"
1004109553854803968,cataag_,2018-06-05 21:15:47,"RT @IniciativaV: 📢 #SORTEO (INTERNACIONAL) ⚡
¡Sorteamos un poster AUTOGRAFIADO por #JoeRusso (Director) + un #FunkoPOP del #IronSpider + el…"
1004109524817661954,JovyAF,2018-06-05 21:15:40,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109502524739584,zeinamegot,2018-06-05 21:15:35,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109448959361024,CoreyIsAFox,2018-06-05 21:15:22,RT @caitlinmbusch: Okay here's a separate #Ragnarok thread from the one I've already inundated you all with today in which I'll discuss *th…
1004109447038291968,sohycronyy,2018-06-05 21:15:22,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109435705311234,vvlcanspock,2018-06-05 21:15:19,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109427518070784,Leon2421,2018-06-05 21:15:17,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
1004109424502321152,lessvsugar,2018-06-05 21:15:16,"RT @racheljpierce: seems easier than waiting for the 14,000,000th plan to work #InfinityWar https://t.co/Ca2H2p5BJb"
1004109413207199744,Cronaas,2018-06-05 21:15:14,RT @racheljpierce: hello im back #InfinityWar https://t.co/M81HDhdnTi
1004109398225059840,fotogramas_es,2018-06-05 21:15:10,#Thanos ha hecho lo impensable. Pero... ¿realmente es tan malo? https://t.co/8LVewra6Ix  #Vengadores #InfinityWar
1004109390645952512,greg_goldberry,2018-06-05 21:15:08,"Let's all agree that @wreckitralph 2 moves #InfinityWar aside, in the category of mass crossovers!
#Disney #Marvel"
1004109380915167238,Nalira11,2018-06-05 21:15:06,RT @cyanwhisky: #RalphBreaksTheInternet #InfinityWar I shouldn't laugh but I also cry at the same time😂😭😂😭😂😭 https://t.co/tQOjsP1MAp
