TCS, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,eight_Peak_Hr_Vehicle_Volume,eight_Peak_Hr_Pedestrian_Volume
2, JARVIS ST , FRONT ST E ,11/15/1948,43.6494180000,-79.3714460000,06-21-2017,15662,13535
3, KING ST E , JARVIS ST ,08/23/1950,43.6504606000,-79.3719239000,09-17-2016,12960,7333
4, JARVIS ST , ADELAIDE ST E ,09/12/1958,43.6515337000,-79.3723600000,11-08-2016,17770,7083
5, JARVIS ST , RICHMOND ST E ,04/21/1962,43.6527176000,-79.3728240000,12-08-2015,19678,4369
6, JARVIS ST , QUEEN ST E ,08/24/1928,43.6537040000,-79.3732380000,09-17-2016,14487,3368
7, JARVIS ST , SHUTER ST ,11/18/1948,43.6553570000,-79.3738620000,11-08-2016,15846,3747
8, JARVIS ST , DUNDAS ST E ,06/21/1928,43.6570520000,-79.3745310000,06-27-2017,17835,5858
9, JARVIS ST , GERRARD ST E ,07/14/1941,43.6604320000,-79.3758537000,11-01-2016,18196,6493
10, JARVIS ST , CARLTON ST ,06/28/1928,43.6624200000,-79.3767079000,01-21-2017,14222,6165
11, JARVIS ST , WELLESLEY ST E ,09/28/1948,43.6662894000,-79.3783250000,11-01-2016,18163,5213
12, JARVIS ST , ISABELLA ST ,09/13/1960,43.6688690000,-79.3794158000,11-01-2016,15197,2713
13, MOUNT PLEASANT RD , CHARLES ST E ,05/23/1950,43.6699892000,-79.3799226000,11-01-2016,16280,2976
14, BLOOR ST E , TED ROGERS WAY ,03/28/1951,43.6715773000,-79.3805200000,01-11-2018,15844,9810
15, CHURCH ST , FRONT ST E ,04/24/1950,43.6485131800,-79.3738335400,04-20-2015,10467,7381
16, KING ST E , CHURCH ST ,01/10/1928,43.6499164000,-79.3744090000,11-08-2016,12017,20866
17, CHURCH ST , ADELAIDE ST E ,11/22/1948,43.6511730000,-79.3749250000,11-08-2016,13816,9692
18, CHURCH ST , RICHMOND ST E ,11/22/1948,43.6524410000,-79.3754480000,11-08-2016,10374,7179
19, QUEEN ST E , CHURCH ST ,08/24/1983,43.6531700000,-79.3757540000,11-08-2016,13867,11799
20, CHURCH ST , SHUTER ST ,11/18/1948,43.6548170000,-79.3764410000,11-08-2016,11028,6952
21, DUNDAS ST E , CHURCH ST ,12/17/1952,43.6564990000,-79.3771270000,04-13-2015,13764,10302
22, CHURCH ST , GERRARD ST E ,07/18/1941,43.6598580000,-79.3785220000,11-08-2016,13437,15840
23, CHURCH ST , CARLTON ST ,02/17/1932,43.6618710000,-79.3793350000,01-28-2017,11648,11072
24, CHURCH ST , WELLESLEY ST E ,07/18/1941,43.6657034000,-79.3809280000,01-18-2017,12231,12520
25, BLOOR ST E , CHURCH ST ,02/19/1932,43.6710224000,-79.3831230000,01-11-2018,18339,27313
26, ADELAIDE ST E , VICTORIA ST ,09/27/1928,43.6506539000,-79.3772480000,06-13-2017,9968,18326
27, VICTORIA ST , RICHMOND ST E ,11/03/1927,43.6519522000,-79.3777560000,06-15-2017,11767,10589
28, QUEEN ST E , VICTORIA ST ,11/03/1927,43.6526703000,-79.3780660000,06-14-2017,10087,24100
29, YONGE ST , FRONT ST ,08/24/1928,43.6468460000,-79.3769310000,09-17-2016,10996,10950
30, YONGE ST , WELLINGTON ST ,01/06/1964,43.6478484000,-79.3773510000,05-06-2014,13620,26656
31, YONGE ST , KING ST ,11/03/1927,43.6491624000,-79.3779040000,09-17-2016,10911,14579
32, YONGE ST , ADELAIDE ST ,01/10/1928,43.6504190000,-79.3784360000,09-17-2016,12454,11224
33, YONGE ST , RICHMOND ST ,11/03/1927,43.6516970000,-79.3789650000,09-17-2016,9390,19530
34, YONGE ST , QUEEN ST ,11/03/1927,43.6524209000,-79.3792760000,09-17-2016,10956,21936
35, YONGE ST , SHUTER ST ,03/12/1959,43.6540660000,-79.3799570000,01-17-2017,9525,15491
36, YONGE ST , DUNDAS ST ,04/04/1927,43.6563260000,-79.3809120000,04-11-2015,10925,34615
37, YONGE ST , GERRARD ST ,07/09/1929,43.6590897000,-79.3820960000,11-05-2016,10019,21562
38, YONGE ST , CARLTON ST ,02/18/1932,43.6613687000,-79.3830940000,05-05-2014,13438,32030
39, YONGE ST , WELLESLEY ST ,09/30/1948,43.6649351000,-79.3845580000,11-05-2016,9051,19591
40, BLOOR ST , YONGE ST ,08/28/1925,43.6702290000,-79.3867670000,01-11-2018,14398,23335
41, YONGE ST , CHURCH ST ,12/03/1932,43.6728790000,-79.3878450000,11-05-2016,15532,7870
42, YONGE ST , AYLMER AVE ,11/19/1963,43.6756028000,-79.3889500000,11-12-2016,13870,3434
43, YONGE ST , CRESCENT RD ,10/16/1957,43.6769762000,-79.3895340000,11-12-2016,10193,3758
44, YONGE ST , MACPHERSON AVE ,04/10/1948,43.6791392000,-79.3904240000,04-25-2012,15632,4127
45, YONGE ST , SHAFTESBURY AVE ,12/05/1955,43.6820226000,-79.3915740000,05-06-2014,14363,6199
46, YONGE ST , ST CLAIR AVE ,04/05/1927,43.6880750000,-79.3940980000,05-03-2014,20437,10303
47, YONGE ST , CHAPLIN CRES ,06/14/1930,43.6982977000,-79.3966010000,01-24-2018,19703,18330
48, YONGE ST , MANOR RD ,12/11/1956,43.7025080000,-79.3974580000,08-19-2009,14040,3776
49, YONGE ST , EGLINTON AVE ,08/21/1929,43.7067501000,-79.3983110000,05-03-2014,23360,20902
50, YONGE ST , BROADWAY AVE ,02/12/1957,43.7095540000,-79.3989430000,05-03-2014,16937,14176
51, YONGE ST , CASTLEFIELD AVE ,08/21/1929,43.7118551000,-79.3994370000,07-10-2012,15456,3080
52, YONGE ST , BLYTHWOOD RD ,08/12/1954,43.7166050000,-79.4004520000,04-23-2012,19891,1438
53, YONGE ST , GLENGROVE AVE ,07/06/1961,43.7195544000,-79.4010900000,08-19-2009,14632,1311
54, YONGE ST , CHATSWORTH DR ,07/17/1930,43.7219710000,-79.4015570000,04-27-2011,18003,1409
55, YONGE ST , LAWRENCE AVE ,01/03/1941,43.7251031000,-79.4021930000,10-03-2017,24489,9198
56, YONGE ST , RANLEIGH AVE ,08/24/1929,43.7278642000,-79.4029300000,06-27-2011,18308,5040
57, YONGE ST , FAIRLAWN AVE ,08/29/1956,43.7309130000,-79.4037880000,05-06-2014,19161,3893
58, YONGE ST , YONGE BLVD ,10/12/1955,43.7343677000,-79.4045850000,05-05-2014,24567,2215
59, BAY ST , FRONT ST W ,09/18/1928,43.6459960000,-79.3791150000,04-22-2009,18965,17115
60, BAY ST , WELLINGTON ST W ,09/28/1928,43.6473450000,-79.3797020000,08-12-2009,16188,32319
61, BAY ST , KING ST W ,11/03/1927,43.6486530000,-79.3802680000,11-10-2016,15543,47561
62, BAY ST , ADELAIDE ST W ,09/26/1928,43.6498760000,-79.3808230000,11-10-2016,16489,28424
63, BAY ST , RICHMOND ST W ,12/30/1930,43.6512244000,-79.3814520000,11-10-2016,10403,26445
64, BAY ST , QUEEN ST W ,11/03/1927,43.6518900000,-79.3816980000,11-10-2016,15397,20612
65, BAY ST , ALBERT ST ,11/22/1948,43.6529652000,-79.3826310000,11-10-2016,9430,9629
66, DUNDAS ST W , BAY ST ,06/28/1928,43.6557210000,-79.3837340000,04-13-2015,16598,31918
67, BAY ST , GERRARD ST W ,04/07/1941,43.6584960000,-79.3848650000,07-23-2009,19660,12211
68, BAY ST , COLLEGE ST ,01/28/1928,43.6608138000,-79.3858570000,07-19-2011,17491,24779
69, BAY ST , WELLESLEY ST W ,12/30/1930,43.6643660000,-79.3871510000,11-10-2016,16636,18418
70, BAY ST , BLOOR ST W ,07/21/1928,43.6697010000,-79.3894680000,01-11-2018,19112,29629
71, YORK ST , WELLINGTON ST W ,06/22/1928,43.6466383000,-79.3830070000,06-21-2017,5575,32338
72, KING ST W , YORK ST ,11/03/1927,43.6479338000,-79.3835310000,11-10-2016,12474,20091
73, YORK ST , ADELAIDE ST W ,11/06/1928,43.6491960000,-79.3840740000,07-27-2010,14130,9142
74, YORK ST , RICHMOND ST W ,11/06/1928,43.6505005000,-79.3846200000,01-18-2017,9677,11122
75, UNIVERSITY AVE , YORK ST ,06/14/1928,43.6452910000,-79.3824760000,09-17-2016,16857,17564
76, UNIVERSITY AVE , WELLINGTON ST W ,02/17/1932,43.6464054000,-79.3840760000,04-20-2015,18390,18152
77, UNIVERSITY AVE , KING ST W ,02/15/1932,43.6476553000,-79.3847880000,09-17-2016,16694,8406
78, UNIVERSITY AVE , ADELAIDE ST W ,12/02/1932,43.6488570000,-79.3854800000,09-17-2016,20740,5715
79, UNIVERSITY AVE , RICHMOND ST W ,02/15/1932,43.6501396000,-79.3862400000,09-17-2016,20727,5525
