"Main","total_volume","Day"
" JARVIS ST ",29197,"Wednesday"
" KING ST E ",32883,"Tuesday"
" DUNDAS ST E ",24066,"Monday"
" BLOOR ST E ",45652,"Thursday"
" ADELAIDE ST E ",28294,"Tuesday"
" VICTORIA ST ",22356,"Thursday"
" QUEEN ST E ",34187,"Wednesday"
" BLOOR ST ",37733,"Thursday"
" BAY ST ",63104,"Thursday"
" DUNDAS ST W ",48516,"Monday"
" YORK ST ",37913,"Wednesday"
" UNIVERSITY AVE ",59118,"Thursday"
" QUEENS PARK CRES E ",21413,"Wednesday"
" AVENUE RD ",38944,"Thursday"
" MOUNT PLEASANT RD ",27336,"Monday"
" ST CLAIR AVE W ",33999,"Monday"
" YONGE ST ",50476,"Wednesday"
" KINGSTON RD ",34749,"Wednesday"
" RIVER ST ",7494,"Monday"
" YORKLAND RD ",10740,"Monday"
" HARBOUR ST ",15905,"Tuesday"
" LAKE SHORE BLVD E ",31987,"Monday"
" CHAPLIN CRES ",8872,"Monday"
" RICHMOND ST E ",16387,"Monday"
" QUEENS PARK ",22654,"Thursday"
" PARLIAMENT ST ",18542,"Thursday"
" SHERBOURNE ST ",19970,"Wednesday"
" FRONT ST W ",42641,"Tuesday"
" SIMCOE ST ",26902,"Thursday"
" RICHMOND ST W ",22726,"Tuesday"
" SPADINA AVE ",38067,"Saturday"
" BLOOR ST W ",32473,"Wednesday"
" DANFORTH AVE ",32167,"Saturday"
" MAIN ST ",22748,"Saturday"
" CLONMORE DR ",12124,"Wednesday"
" GERRARD ST E ",20164,"Wednesday"
" COXWELL AVE ",15487,"Monday"
" BROADVIEW AVE ",16035,"Monday"
" DAVENPORT RD ",20235,"Monday"
" ROGERS RD ",19834,"Saturday"
" LAWRENCE AVE E ",48225,"Tuesday"
" DANFORTH RD ",15870,"Wednesday"
" JANE ST ",30162,"Thursday"
" DIXON RD ",33254,"Tuesday"
" O CONNOR DR ",30511,"Wednesday"
" DON MILLS RD ",47782,"Wednesday"
" EGLINTON AVE E ",42519,"Monday"
" TRETHEWEY DR ",16082,"Monday"
" ST CLAIR AVE E ",30655,"Saturday"
" WILSON AVE ",34647,"Saturday"
