"Main","Activation_Date","net_volume"
" VICTORIA PARK AVE ",2015-06-16T00:00:00.0000000,31452
" BAY ST ",2014-03-20T00:00:00.0000000,24423
" STEELES AVE W ",2014-03-12T00:00:00.0000000,23875
" VICTORIA PARK AVE ",2013-07-11T00:00:00.0000000,20699
" RENFORTH DR ",2015-03-31T00:00:00.0000000,20165
" WILSON AVE ",2014-08-27T00:00:00.0000000,19777
" KEELE ST ",2015-10-01T00:00:00.0000000,19109
" STEELES AVE W ",2013-02-25T00:00:00.0000000,18265
" REXDALE BLVD ",2015-02-04T00:00:00.0000000,17330
" SHEPPARD AVE W ",2014-01-14T00:00:00.0000000,16545
